client_id	path	sentence
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85457.mp3	mikhuqmi purinay kashan
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85458.mp3	wawa kaspayqa taytamamaykunata yanaparqani uywata michispa tutamanta tutayaykunankama
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85459.mp3	llaqtayqa sumaqllaña llaqtamasiykunaqa uywan uywata wakata sumaq lichi kisu kananpaq
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85460.mp3	manan imapis manchachiwanñachu wiñarisqaymanta yasta yuyaycharini astawanña
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85461.mp3	sunquy ukhumanta niyman sullpay chaqrakunata munayta wiñachispa mikhuna kananpaq
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85462.mp3	llaqtayqa paqarirqun chiri chirillaña paraykusqa tutantin
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85463.mp3	hatarispaqa uyayta maqchini kiruyta muqchini chuqchayta ñaqchani chaymanta llank'aq purini
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85464.mp3	kusisqan kashani unqusqaymanta qhali qhalillaña kutiykushani
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85465.mp3	campupiqa sapa p'unchay uywa michina chaqra ruwana mikhuna wayrawan wayrawan khuyurikuspa kusirikuspa
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85467.mp3	sunquykun llakirin kawsayninta yuyarispa huq tuta kushka p'unchaynintawan qhawariyku chaymantataq hallp'aman churaykapunapaq
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85468.mp3	runamasinsikuna sunqunta umantawan manan allinmanchu yuyaycharinku allin ñanman puririnapaq
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85469.mp3	phisqa wata antisqa purirani waq llaqtakunata kawsayninta yachariyta munaspa
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85470.mp3	pachamamaqa kawsanmi chayraykun yuyaycharikuspa pay patapiqa purina
02e7c8277d653a9b6a9e0c32d920d49a	spontaneous-speech-qxp-85471.mp3	trucha t'imputaqa wayk'uni ch'uñuyuq papayuqta t'impuykachini mankapi waq mankapitaq truchachata kalduchantinta muñachawan sumaq sumaqllataña uchuchantawan mikhuykuni chaymanta
