client_id	audio_id	path	duration_ms	prompt_id	prompt	transcription_raw	votes	age	gender	accents	variant	language	prompt_upvotes	prompt_reports	is_edited	split	char_per_sec	quality_tags	sentence
ae1ffa62321ae9eddbb74a6e1c09cc39	37814	spontaneous-speech-qxp-37814.mp3	17640	4363	Imaynataq chiri tiyasqaykipi?	Tiyasqaypika ñishutan chirin, qasapis qasan, chikchipis chikchin, wayrapis wayran, parapis paran, rit'ipis rit'in hina, allin p'istusqa purinayki mana hinaka chirimusunki chaymantataq manan allinchu kanki.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	10.317460317460316		tiyasqaypika ñishutan chirin qasapis qasan chikchipis chikchin wayrapis wayran parapis paran rit'ipis rit'in hina allin p'istusqa purinayki mana hinaka chirimusunki chaymantataq manan allinchu kanki
ae1ffa62321ae9eddbb74a6e1c09cc39	37816	spontaneous-speech-qxp-37816.mp3	17532	4378	Pitaq llaqtaykipi wawa unquq warmikunata qhawan?	Llaqtaypiqa hampina wasiña kan, anchaypiña unquqkunaqa yanapachikunku ima sasachakuyta tarinku hinapas, chaypiqa unquq warmikunata qhawanku unquq kapusqanmanta unqukunankama.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	8.955053616244582		llaqtaypiqa hampina wasiña kan anchaypiña unquqkunaqa yanapachikunku ima sasachakuyta tarinku hinapas chaypiqa unquq warmikunata qhawanku unquq kapusqanmanta unqukunankama
ae1ffa62321ae9eddbb74a6e1c09cc39	37817	spontaneous-speech-qxp-37817.mp3	16992	4364	Paquchakunamanta willakuy.	Llaqtaypi imaymana llimphiyuq paquchakuna kan, yana, yuraq, ch'umpi, uqi ima. Paquchaqa kanmanmi Suri utaq Wakayu; paqucha huch'uylla kaqtin aswan munay.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	7.886064030131826		llaqtaypi imaymana llimphiyuq paquchakuna kan yana yuraq ch'umpi uqi ima paquchaqa kanmanmi suri utaq wakayu paqucha huch'uylla kaqtin aswan munay
ae1ffa62321ae9eddbb74a6e1c09cc39	37818	spontaneous-speech-qxp-37818.mp3	28044	4394	Imatan yuyarinki hatun tayta mamaykikunamanta?	Manan allintachu yuyarini hatunmamataytaykunamanta, paykunaqa wañukapunku manaraq karkanichu hina. Isidora hatun mamayllatam riqsirqani, paywan tiyarqayku iskay wata pacha paypaq munay asiynin karqan, qhawawaqtintaq asikurqanmi qhawanapi askhata qhawarikusqayrayku. Hatun mamayqa iskay waranqa chunka qanchisniyuq watapi wañukapun.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	10.590500641848523		manan allintachu yuyarini hatunmamataytaykunamanta paykunaqa wañukapunku manaraq karkanichu hina isidora hatun mamayllatam riqsirqani paywan tiyarqayku iskay wata pacha paypaq munay asiynin karqan qhawawaqtintaq asikurqanmi qhawanapi askhata qhawarikusqayrayku hatun mamayqa iskay waranqa chunka qanchisniyuq watapi wañukapun
ae1ffa62321ae9eddbb74a6e1c09cc39	37819	spontaneous-speech-qxp-37819.mp3	18000	4357	Ima t'ikakunatataq riqsinki?	Nuqa askha t'ikakunata riqsini, ichaqa sutinkuta mana allintachu yuyani, chaykuna kanman: Muña, q'illu t'ika, panti panti, llama llama, ch'iri ch'iri. Chay t'ikaq sutikunata allinta yuyani.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	9.166666666666666		nuqa askha t'ikakunata riqsini ichaqa sutinkuta mana allintachu yuyani chaykuna kanman muña q'illu t'ika panti panti llama llama ch'iri ch'iri chay t'ikaq sutikunata allinta yuyani
ae1ffa62321ae9eddbb74a6e1c09cc39	37820	spontaneous-speech-qxp-37820.mp3	26244	4392	Imaynatan wawa kasqaykimantapacha hukniraqchaykunki?	"Wawallaraq kaqtiy ch'aska yana ñawiyuq karqani chuqchaypis yana karkan hinallatakmi huchuy kaspa sutiy karqan ""panacha"" kunanqa ipaylla chayhinata niwan, chaykunallata kunankamaqa yuyayniypi waqaychani. Qunqasharqani! irqi kaspaqa ñishutaq rimaq kani, kunankama wakinqa ninku."	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	9.335467154397197		wawallaraq kaqtiy ch'aska yana ñawiyuq karqani chuqchaypis yana karkan hinallatakmi huchuy kaspa sutiy karqan panacha kunanqa ipaylla chayhinata niwan chaykunallata kunankamaqa yuyayniypi waqaychani qunqasharqani irqi kaspaqa ñishutaq rimaq kani kunankama wakinqa ninku
ae1ffa62321ae9eddbb74a6e1c09cc39	37821	spontaneous-speech-qxp-37821.mp3	21276	4362	Llaqtaykimanta rimaykuy.	Llaqtaypaq sutinqa Nuñoa, paqucha Surirayku riqsisqa, chaymantapis rumi chakan kan, iñina wasinpis rumimanta ruwaska, sapa wata tusuqkuna mauk'a llaqtapi llallinakunku inti raymi rayku,  takiqkunapis kallantaq, imaymana ruway kan llaqtaypiqa.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	10.011280315848843		llaqtaypaq sutinqa nuñoa paqucha surirayku riqsisqa chaymantapis rumi chakan kan iñina wasinpis rumimanta ruwaska sapa wata tusuqkuna mauk'a llaqtapi llallinakunku inti raymi rayku takiqkunapis kallantaq imaymana ruway kan llaqtaypiqa
ae1ffa62321ae9eddbb74a6e1c09cc39	40527	spontaneous-speech-qxp-40527.mp3	22896	4359	Imayna uywakunataq llaqtaykipi rikukun?	Llaqtaypi askha uywakuna kan, ankaykunataq kanqu: paqucha, uha, waka, wik'uña. Ichaqa aswanta llaqtayta riqsinku suri paqucharayku, chay uywaq willmanqa aswan hatun huqkunamanta, paquchaq llimphinqa kanmanmi yana, uqi, yuraq utah ch'umpi.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	9.128232005590496		llaqtaypi askha uywakuna kan ankaykunataq kanqu paqucha uha waka wik'uña ichaqa aswanta llaqtayta riqsinku suri paqucharayku chay uywaq willmanqa aswan hatun huqkunamanta paquchaq llimphinqa kanmanmi yana uqi yuraq utah ch'umpi
ae1ffa62321ae9eddbb74a6e1c09cc39	40528	spontaneous-speech-qxp-40528.mp3	18648	4385	Imatataq paqarin ruwanki?	Paqarinqa yachay wasiman llamk'asaq risaq, chaypi wawakunata yachachisaq, chaymantataq wasiyman kutisaq, anchaypiña taytay, turaypaq ususinwan ima, mikhusaqku. Chaymantataq turayta waqhasaq waqhanapi imaynachá kashan chayta tapunaypaq.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	11.314886314886316		paqarinqa yachay wasiman llamk'asaq risaq chaypi wawakunata yachachisaq chaymantataq wasiyman kutisaq anchaypiña taytay turaypaq ususinwan ima mikhusaqku chaymantataq turayta waqhasaq waqhanapi imaynachá kashan chayta tapunaypaq
ae1ffa62321ae9eddbb74a6e1c09cc39	40529	spontaneous-speech-qxp-40529.mp3	19548	4370	Wawa kaspaykiqa, imataq wiñaspa kayta munarqanki?	Huch'uy sipascha karqani hina nuqa munarkani ingeniero civil kayta, hina wasi hatarichiyta munarqani utaq Sonia Morales hina takiyta munarqani. Ichaqa nuqa llakikuyniypaq mana takiyta atisqanichu nitaq yupaypi allinchu kasqani ingeniero civil kanaypaq.	1	twenties	female_feminine	Perú, Puno, Nuñoa 		Puno Quechua	0	0	0	train	11.30550439942705		huch'uy sipascha karqani hina nuqa munarkani ingeniero civil kayta hina wasi hatarichiyta munarqani utaq sonia morales hina takiyta munarqani ichaqa nuqa llakikuyniypaq mana takiyta atisqanichu nitaq yupaypi allinchu kasqani ingeniero civil kanaypaq
